student_id,attendance,internal_marks,assignment_marks,previous_gpa,midterm_score,quiz_average,participation,study_hours,absences,pass
1,92,85,88,3.8,82,87,90,25,2,1
2,45,35,40,2.1,38,42,35,8,15,0
3,78,72,75,3.2,70,73,78,18,5,1
4,88,82,85,3.6,80,84,88,22,3,1
5,35,28,32,1.8,30,35,28,5,18,0
6,95,90,92,3.9,88,91,95,28,1,1
7,52,48,50,2.4,45,50,48,10,12,0
8,82,78,80,3.4,76,79,82,20,4,1
9,68,65,70,2.9,68,72,70,15,7,1
10,40,35,38,2.0,36,40,35,7,16,0
11,90,88,90,3.7,85,88,92,24,2,1
12,58,55,60,2.6,58,62,60,12,10,1
13,75,70,72,3.1,72,75,75,17,6,1
14,48,42,45,2.3,44,48,42,9,13,0
15,85,80,82,3.5,78,82,85,21,4,1
16,32,28,30,1.7,29,32,28,6,19,0
17,92,88,90,3.8,86,89,92,26,2,1
18,62,58,60,2.7,60,63,62,14,8,1
19,78,75,78,3.3,76,78,80,19,5,1
20,42,38,40,2.1,40,42,38,8,14,0
21,88,85,87,3.6,84,86,88,23,3,1
22,55,50,52,2.5,52,55,50,11,11,0
23,95,92,94,3.9,90,93,95,27,1,1
24,38,32,35,1.9,34,38,32,7,17,0
25,82,78,80,3.4,77,80,82,20,4,1
26,65,60,62,2.8,62,65,65,15,8,1
27,72,68,70,3.0,70,72,72,16,6,1
28,50,45,48,2.4,47,50,45,10,12,0
29,90,86,88,3.7,85,88,90,25,2,1
30,35,30,32,1.8,32,35,30,6,18,0
31,85,82,84,3.5,80,83,85,22,3,1
32,60,55,58,2.7,58,60,58,13,9,1
33,78,74,76,3.2,75,77,78,18,5,1
34,45,40,42,2.2,42,45,40,9,14,0
35,92,89,91,3.8,87,90,92,26,2,1
36,52,48,50,2.5,50,52,48,11,11,0
37,88,84,86,3.6,83,86,88,23,3,1
38,68,64,66,2.9,66,68,68,16,7,1
39,75,72,74,3.1,73,75,75,18,5,1
40,40,36,38,2.0,38,40,36,8,15,0
41,95,91,93,3.9,89,92,95,28,1,1
42,58,54,56,2.6,56,58,56,13,9,1
43,82,79,81,3.4,79,81,82,21,4,1
44,48,44,46,2.3,46,48,44,10,13,0
45,90,87,89,3.7,86,88,90,25,2,1
46,62,58,60,2.7,60,62,60,14,8,1
47,35,31,33,1.8,33,35,31,6,18,0
48,85,81,83,3.5,81,83,85,22,3,1
49,72,69,71,3.0,71,72,72,17,6,1
50,55,51,53,2.5,53,55,51,12,10,1
